N,M,K,D,Ktrue,Dtrue,dataseed,maskseed,inforate
20.0,20.0,10.0,10.0,5.0,5.0,101.0,101.0,-2.411172459200105
20.0,20.0,10.0,10.0,5.0,5.0,101.0,102.0,-2.4253635320312634
20.0,20.0,10.0,10.0,5.0,5.0,101.0,103.0,-2.2857718776530755
20.0,20.0,10.0,10.0,5.0,5.0,101.0,104.0,-2.4525785505699487
20.0,20.0,10.0,10.0,5.0,5.0,102.0,101.0,-2.2104930773673397
20.0,20.0,10.0,10.0,5.0,5.0,102.0,102.0,-1.8582047015656915
20.0,20.0,10.0,10.0,5.0,5.0,102.0,103.0,-2.113660768439527
20.0,20.0,10.0,10.0,5.0,5.0,102.0,104.0,-2.229175828628766
20.0,20.0,10.0,10.0,5.0,5.0,103.0,101.0,-2.70888466147048
20.0,20.0,10.0,10.0,5.0,5.0,103.0,102.0,-2.0265305755271834
20.0,20.0,10.0,10.0,5.0,5.0,103.0,103.0,-2.2820510073145015
20.0,20.0,10.0,10.0,5.0,5.0,104.0,101.0,-1.9258671551460858
20.0,20.0,10.0,10.0,5.0,5.0,104.0,102.0,-2.4681212713122664
20.0,20.0,10.0,10.0,5.0,5.0,104.0,103.0,-2.320998258423707
20.0,20.0,10.0,10.0,5.0,5.0,104.0,104.0,-2.0412826228666403
20.0,20.0,10.0,10.0,5.0,5.0,105.0,101.0,-1.9121933161757187
20.0,20.0,10.0,10.0,5.0,5.0,105.0,102.0,-2.3679571437706053
20.0,20.0,10.0,10.0,5.0,5.0,105.0,103.0,-1.9919097899144624
20.0,20.0,10.0,10.0,5.0,5.0,105.0,104.0,-1.8947656310286674
20.0,20.0,10.0,1.0,5.0,5.0,101.0,101.0,-2.518228979252536
20.0,20.0,10.0,1.0,5.0,5.0,101.0,102.0,-2.464208401688784
20.0,20.0,10.0,1.0,5.0,5.0,101.0,103.0,-2.3888439935104304
20.0,20.0,10.0,1.0,5.0,5.0,101.0,104.0,-2.6279833202930787
20.0,20.0,10.0,1.0,5.0,5.0,102.0,101.0,-2.506198637129212
20.0,20.0,10.0,1.0,5.0,5.0,102.0,102.0,-2.1624267464827573
20.0,20.0,10.0,1.0,5.0,5.0,102.0,103.0,-2.3176081308342487
20.0,20.0,10.0,1.0,5.0,5.0,102.0,104.0,-2.295780471867744
20.0,20.0,10.0,1.0,5.0,5.0,103.0,101.0,-2.4531471101516367
20.0,20.0,10.0,1.0,5.0,5.0,103.0,102.0,-2.3756609626684577
20.0,20.0,10.0,1.0,5.0,5.0,103.0,103.0,-2.4022584155405826
20.0,20.0,10.0,1.0,5.0,5.0,103.0,104.0,-2.39350574499831
20.0,20.0,10.0,1.0,5.0,5.0,104.0,101.0,-2.1906586776439645
20.0,20.0,10.0,1.0,5.0,5.0,104.0,102.0,-2.4049919402223208
