"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1",0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.5,0.5,0.5,0.9,0.9,0.9,0.9,0.9
"2",1,2,3,4,5,1,2,3,4,5,1,2,3,4,5
"3",41,23,25,46,26,54,37,40,47,39,57,41,44,46,44
"4",78,26,26,42,58,62,42,43,56,62,56,48,49,59,62
"5",21,30,46,50,34,42,43,50,45,46,49,46,50,42,49
"6",66,33,71,54,30,59,63,60,61,44,55,51,56,62,48
"7",34,64,27,57,66,41,59,37,53,52,43,49,40,51,47
"8",32,24,74,53,37,43,44,65,51,41,46,32,61,50,42
"9",37,73,58,47,60,42,41,52,50,62,43,54,49,51,31
"10",73,47,28,71,78,59,47,39,57,67,56,63,42,52,48
"11",65,28,35,54,67,62,55,46,60,60,57,52,49,61,62
"12",63,22,31,87,52,35,52,41,69,61,36,31,45,62,57
"13",16,88,36,56,34,61,42,50,51,41,58,59,55,49,63
"14",64,109,40,63,40,41,73,44,54,57,45,59,45,50,43
"15",34,67,70,29,86,47,62,61,44,69,48,48,57,48,63
"16",39,30,58,62,58,51,43,52,51,69,50,38,49,46,63
"17",26,81,75,59,82,46,40,68,63,40,53,50,64,63,65
"18",43,52,41,49,31,54,50,43,49,35,56,53,43,47,43
"19",60,52,60,29,16,53,53,52,38,43,50,49,49,41,43
"20",40,74,67,58,34,41,60,56,59,50,43,49,52,59,45
"21",23,34,73,83,51,34,68,55,47,64,37,52,48,56,49
"22",61,23,67,47,68,54,41,54,39,46,50,39,49,44,61
"23",68,68,58,53,39,58,40,56,43,39,54,45,54,44,48
"24",29,30,54,43,25,39,58,50,51,42,42,35,48,51,44
"25",96,55,14,34,38,75,34,31,40,51,67,56,36,43,43
"26",42,15,85,51,59,51,57,66,48,51,53,34,59,48,47
"27",43,79,36,25,57,48,29,50,51,54,49,57,54,45,48
"28",31,30,31,18,55,45,63,46,59,56,49,43,50,62,28
"29",17,93,68,35,53,39,40,54,48,56,47,57,49,48,44
"30",46,63,24,55,53,50,66,35,46,55,50,50,39,51,50
"31",46,51,44,45,68,46,54,46,51,41,45,47,46,52,49
"32",34,54,70,47,45,50,44,58,60,42,55,50,54,52,53
"33",47,27,55,49,43,49,52,56,63,56,49,45,55,53,46
"34",25,26,76,63,59,39,41,61,33,49,43,42,55,41,55
"35",81,90,18,73,64,64,46,31,54,37,58,58,35,57,64
"36",44,68,43,16,34,52,66,51,37,49,53,64,54,39,40
"37",60,38,28,51,19,59,66,43,44,55,58,41,47,49,40
"38",43,33,43,115,70,51,41,44,71,59,53,41,44,72,38
"39",67,99,64,68,36,52,40,56,48,44,46,66,53,55,55
"40",77,28,31,60,36,63,74,41,49,41,57,51,44,53,46
"41",88,30,24,98,61,65,45,41,44,55,57,60,46,44,41
"42",24,39,34,48,48,42,52,44,54,53,48,44,46,50,53
"43",74,26,48,33,40,62,43,55,52,44,57,49,57,49,54
